,movie_title,genres,country,language,imdb_score,actor_1_name
0,Avatar ,"Action, Adventure, Fantasy, Sci-Fi",USA,English,7.9,CCH Pounder
1,Pirates of the Caribbean: At World's End ,"Action, Adventure, Fantasy",USA,English,7.1,Johnny Depp
2,Spectre ,"Action, Adventure, Thriller",UK,English,6.8,Christoph Waltz
3,The Dark Knight Rises ,"Action, Thriller",USA,English,8.5,Tom Hardy
5,John Carter ,"Action, Adventure, Sci-Fi",USA,English,6.6,Daryl Sabara
6,Spider-Man 3 ,"Action, Adventure, Romance",USA,English,6.2,J.K. Simmons
7,Tangled ,"Adventure, Animation, Comedy, Family, Fantasy, Musical, Romance",USA,English,7.8,Brad Garrett
8,Avengers: Age of Ultron ,"Action, Adventure, Sci-Fi",USA,English,7.5,Chris Hemsworth
9,Harry Potter and the Half-Blood Prince ,"Adventure, Family, Fantasy, Mystery",UK,English,7.5,Alan Rickman
10,Batman v Superman: Dawn of Justice ,"Action, Adventure, Sci-Fi",USA,English,6.9,Henry Cavill
11,Superman Returns ,"Action, Adventure, Sci-Fi",USA,English,6.1,Kevin Spacey
12,Quantum of Solace ,"Action, Adventure",UK,English,6.7,Giancarlo Giannini
13,Pirates of the Caribbean: Dead Man's Chest ,"Action, Adventure, Fantasy",USA,English,7.3,Johnny Depp
14,The Lone Ranger ,"Action, Adventure, Western",USA,English,6.5,Johnny Depp
15,Man of Steel ,"Action, Adventure, Fantasy, Sci-Fi",USA,English,7.2,Henry Cavill
16,The Chronicles of Narnia: Prince Caspian ,"Action, Adventure, Family, Fantasy",USA,English,6.6,Peter Dinklage
17,The Avengers ,"Action, Adventure, Sci-Fi",USA,English,8.1,Chris Hemsworth
18,Pirates of the Caribbean: On Stranger Tides ,"Action, Adventure, Fantasy",USA,English,6.7,Johnny Depp
19,Men in Black 3 ,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,English,6.8,Will Smith
20,The Hobbit: The Battle of the Five Armies ,"Adventure, Fantasy",New Zealand,English,7.5,Aidan Turner
21,The Amazing Spider-Man ,"Action, Adventure, Fantasy",USA,English,7.0,Emma Stone
22,Robin Hood ,"Action, Adventure, Drama, History",USA,English,6.7,Mark Addy
23,The Hobbit: The Desolation of Smaug ,"Adventure, Fantasy",USA,English,7.9,Aidan Turner
24,The Golden Compass ,"Adventure, Family, Fantasy",USA,English,6.1,Christopher Lee
25,King Kong ,"Action, Adventure, Drama, Romance",New Zealand,English,7.2,Naomi Watts
26,Titanic ,"Drama, Romance",USA,English,7.7,Leonardo DiCaprio
27,Captain America: Civil War ,"Action, Adventure, Sci-Fi",USA,English,8.2,Robert Downey Jr.
28,Battleship ,"Action, Adventure, Sci-Fi, Thriller",USA,English,5.9,Liam Neeson
29,Jurassic World ,"Action, Adventure, Sci-Fi, Thriller",USA,English,7.0,Bryce Dallas Howard
30,Skyfall ,"Action, Adventure, Thriller",UK,English,7.8,Albert Finney
31,Spider-Man 2 ,"Action, Adventure, Fantasy, Romance",USA,English,7.3,J.K. Simmons
32,Iron Man 3 ,"Action, Adventure, Sci-Fi",USA,English,7.2,Robert Downey Jr.
33,Alice in Wonderland ,"Adventure, Family, Fantasy",USA,English,6.5,Johnny Depp
34,X-Men: The Last Stand ,"Action, Adventure, Fantasy, Sci-Fi, Thriller",Canada,English,6.8,Hugh Jackman
35,Monsters University ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,7.3,Steve Buscemi
36,Transformers: Revenge of the Fallen ,"Action, Adventure, Sci-Fi",USA,English,6.0,Glenn Morshower
37,Transformers: Age of Extinction ,"Action, Adventure, Sci-Fi",USA,English,5.7,Bingbing Li
38,Oz the Great and Powerful ,"Adventure, Family, Fantasy",USA,English,6.4,Tim Holmes
39,The Amazing Spider-Man 2 ,"Action, Adventure, Fantasy, Sci-Fi",USA,English,6.7,Emma Stone
40,TRON: Legacy ,"Action, Adventure, Sci-Fi",USA,English,6.8,Jeff Bridges
41,Cars 2 ,"Adventure, Animation, Comedy, Family, Sport",USA,English,6.3,Joe Mantegna
42,Green Lantern ,"Action, Adventure, Sci-Fi",USA,English,5.6,Ryan Reynolds
43,Toy Story 3 ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,8.3,Tom Hanks
44,Terminator Salvation ,"Action, Adventure, Sci-Fi",USA,English,6.6,Christian Bale
45,Furious 7 ,"Action, Crime, Thriller",USA,English,7.2,Jason Statham
46,World War Z ,"Action, Adventure, Horror, Sci-Fi, Thriller",USA,English,7.0,Peter Capaldi
47,X-Men: Days of Future Past ,"Action, Adventure, Fantasy, Sci-Fi, Thriller",USA,English,8.0,Jennifer Lawrence
48,Star Trek Into Darkness ,"Action, Adventure, Sci-Fi",USA,English,7.8,Benedict Cumberbatch
49,Jack the Giant Slayer ,"Adventure, Fantasy",USA,English,6.3,Eddie Marsan
50,The Great Gatsby ,"Drama, Romance",Australia,English,7.3,Leonardo DiCaprio
51,Prince of Persia: The Sands of Time ,"Action, Adventure, Fantasy, Romance",USA,English,6.6,Jake Gyllenhaal
52,Pacific Rim ,"Action, Adventure, Sci-Fi",USA,English,7.0,Charlie Hunnam
53,Transformers: Dark of the Moon ,"Action, Adventure, Sci-Fi",USA,English,6.3,Glenn Morshower
54,Indiana Jones and the Kingdom of the Crystal Skull ,"Action, Adventure, Fantasy",USA,English,6.2,Harrison Ford
55,The Good Dinosaur ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,6.8,A.J. Buckley
56,Brave ,"Adventure, Animation, Comedy, Family, Fantasy",USA,English,7.2,Kelly Macdonald
57,Star Trek Beyond ,"Action, Adventure, Sci-Fi, Thriller",USA,English,7.5,Sofia Boutella
58,WALL·E ,"Adventure, Animation, Family, Sci-Fi",USA,English,8.4,John Ratzenberger
59,Rush Hour 3 ,"Action, Comedy, Crime, Thriller",USA,English,6.2,Tzi Ma
60,2012 ,"Action, Adventure, Sci-Fi",USA,English,5.8,Oliver Platt
61,A Christmas Carol ,"Animation, Drama, Family, Fantasy",USA,English,6.8,Robin Wright
62,Jupiter Ascending ,"Action, Adventure, Sci-Fi",USA,English,5.4,Channing Tatum
63,The Legend of Tarzan ,"Action, Adventure, Drama, Romance",USA,English,6.6,Christoph Waltz
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Adventure, Family, Fantasy",USA,English,6.9,Jim Broadbent
65,X-Men: Apocalypse ,"Action, Adventure, Sci-Fi",USA,English,7.3,Jennifer Lawrence
66,The Dark Knight ,"Action, Crime, Drama, Thriller",USA,English,9.0,Christian Bale
67,Up ,"Adventure, Animation, Comedy, Family",USA,English,8.3,John Ratzenberger
68,Monsters vs. Aliens ,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",USA,English,6.5,Amy Poehler
69,Iron Man ,"Action, Adventure, Sci-Fi",USA,English,7.9,Robert Downey Jr.
70,Hugo ,"Adventure, Drama, Family, Mystery",USA,English,7.5,Chloë Grace Moretz
71,Wild Wild West ,"Action, Comedy, Sci-Fi, Western",USA,English,4.8,Will Smith
72,The Mummy: Tomb of the Dragon Emperor ,"Action, Adventure, Fantasy, Horror, Thriller",USA,English,5.2,Jet Li
73,Suicide Squad ,"Action, Adventure, Comedy, Sci-Fi",USA,English,6.9,Will Smith
74,Evan Almighty ,"Comedy, Family, Fantasy",USA,English,5.4,Jimmy Bennett
75,Edge of Tomorrow ,"Action, Adventure, Sci-Fi",USA,English,7.9,Tom Cruise
76,Waterworld ,"Action, Adventure, Sci-Fi, Thriller",USA,English,6.1,Jeanne Tripplehorn
77,G.I. Joe: The Rise of Cobra ,"Action, Adventure, Sci-Fi, Thriller",USA,English,5.8,Joseph Gordon-Levitt
78,Inside Out ,"Adventure, Animation, Comedy, Drama, Family, Fantasy",USA,English,8.3,Amy Poehler
79,The Jungle Book ,"Adventure, Drama, Family, Fantasy",UK,English,7.8,Scarlett Johansson
